Absalons : Absaló,Absalò
amigdalina : amigdalí,amigdalina
amigdalines : amigdalí,amigdalina
amigues : amigar,amic
amistances : amistança,amistançar
amistança : amistança,amistançar
amistançada : amistançat,amistançar
amistançades : amistançat,amistançar
amistançat : amistançat,amistançar
amistançats : amistançat,amistançar
amistat : amistat,amistar
amistats : amistat,amistar
amnistia : amnistiar,amnistia
amnisties : amnistiar,amnistia
amo : amo,amar
amoixí : amoixir,amoixar
amollada : amollar,amollada
amollades : amollar,amollada
amollí : amollir,amollar
amor : amorar,amor
amoretes : amoretes,amoreta
amorosia : amorosia,amorosir
amorosies : amorosia,amorosir
amorosíssim : amorosíssim,amorosir
amorrea : amorrea,amorreu
amorrees : amorrea,amorreu
amorreu : amorreu,amorrar
amortí : amortar,amortir
ampostina : ampostí,ampostina
ampostines : ampostí,ampostina
amura : amura,amurar
amurada : amuradar,amurar
amurades : amuradar,amurar
amures : amura,amurar
amàs : amassar,amar,amàs
anacardina : anacardí,anacardina
anacardines : anacardí,anacardina
anaclàstica : anaclàstica,anaclàstic
anaclàstiques : anaclàstica,anaclàstic
anacreòntica : anacreòntic,anacreòntica
anacreòntiques : anacreòntic,anacreòntica
anacrògines : anacrogin,anacrògines
anacàmptica : anacàmptic,anacàmptica
anacàmptiques : anacàmptic,anacàmptica
anada : anada,anar
anades : anada,anar
anaglíptica : anaglíptica,anaglíptic
anaglíptiques : anaglíptica,anaglíptic
analítica : analític,analítica
analítiques : analític,analítica
anant : anant,anar
anarquitzant : anarquitzar,anarquitzant
anastomosi : anastomosar,anastomosi
anastomosis : anastomosar,anastomosi
anastàtica : anastàtica,anastàtic
anastàtiques : anastàtica,anastàtic
ancada : ancada,ancat
ancades : ancada,ancat
andana : andanar,andana
andanada : andanar,andanada
andanades : andanar,andanada
andanes : andanar,andana
andarivells : andarivells,andarivell
andina : andina,andí
andines : andina,andí
anell : anellar,anell
anella : anella,anellar
anellada : anellada,anellar
anellades : anellada,anellar
anellat : anellat,anellar
anellats : anellat,anellar
anelles : anella,anellar
angiosperma : angiosperma,angiosperm
angiospermes : angiosperma,angiosperm
angle : angle1,angle2
angles : angle1,angle2
angloíndia : angloíndia,angloindi
angloíndies : angloíndia,angloindi
angoixa : angoixa,angoixar
angoixant : angoixar,angoixant
angoixes : angoixa,angoixar
anguillana : anguillà,anguillana
anguillanes : anguillà,anguillana
angèlica : angèlica,angèlic
angèliques : angèlica,angèlic
anhel : anhelar,anhel
animada : animar,animat
animades : animar,animat
animat : animar,animat
animats : animar,animat
anime : animar,anime
animes : animar,anime
anisat : anisat,anisar
anisats : anisat,anisar
anivelladora : anivelladora,anivellador
anivelladores : anivelladora,anivellador
annex : annexar,annex
annexa : annexar,annex
annexes : annexar,annex
anomenada : anomenada,anomenar
anomenades : anomenada,anomenar
anquilosi : anquilosi,anquilosar
anquilosis : anquilosi,anquilosar
ans : ansar,ans
ansa : ansar,ansa
ansat : ansar,ansat
ansats : ansar,ansat
anserina : anserina,anserí
anserines : anserina,anserí
anses : ansar,ansa
ansí : ansar,ansí
antanyasses : antanyasses,antanyàs
antedata : antedatar,antedata
antedates : antedatar,antedata
anticipant : anticipant,anticipar
antics : antic,antics
antològica : antològica,antològic
antològiques : antològica,antològic
antull : antullar,antull
anunciant : anunciar,anunciant
anxovera : anxover,anxovera
anxoveres : anxover,anxovera
anyell : anyell,anyellar
anyella : anyella,anyellar
anyellada : anyellada,anyellar
anyellades : anyellada,anyellar
anyelles : anyella,anyellar
anyera : anyer,anyera
anyeres : anyer,anyera
anyins : anyins,anyí
anyoc : anyocar,anyoc
aní : aní,anar
anís : anís,anisar
apagada : apagar,apagada
apagades : apagar,apagada
apagafocs : apagafocs,apagafoc
aparell : aparell,aparellar
aparences : aparença,aparençar
aparent : aparentar,aparent
aparença : aparença,aparençar
apariat : apariat,apariar
apariats : apariat,apariar
apart : apartar,apart
apartat : apartat,apartar
apartats : apartat,apartar
apassionada : apassionat,apassionar
apassionades : apassionat,apassionar
apassionant : apassionar,apassionant
apassionat : apassionat,apassionar
apassionats : apassionat,apassionar
apedregada : apedregada,apedregar
apedregades : apedregada,apedregar
apeixí : apeixir,apeixar
apell : apellar,apell
apel·la : apel·lar,apel·la
apel·lada : apel·lar,apel·lat
apel·lades : apel·lar,apel·lat
apel·lant : apel·lant,apel·lar
apel·lat : apel·lar,apel·lat
apel·lats : apel·lar,apel·lat
apel·les : apel·lar,apel·la
apetit : apetitar,apetir,apetit
apetits : apetir,apetit
apiladora : apiladora,apilador
apiladores : apiladora,apilador
apitxat : apitxar,apitxat
apitxats : apitxar,apitxat
aplacat : aplacat,aplacar
aplacats : aplacat,aplacar
aplega : aplegar,aplega
aplegada : aplegada,aplegar
aplegades : aplegada,aplegar
aplegues : aplegar,aplega
aplic : aplicar,aplic
aplicada : aplicat,aplicar
aplicades : aplicat,aplicar
aplicat : aplicat,aplicar
aplicats : aplicat,aplicar
aplom : aplom,aplomar
apoderada : apoderat,apoderar
apoderades : apoderat,apoderar
apoderat : apoderat,apoderar
apoderats : apoderat,apoderar
apologètica : apologètica,apologètic
apologètiques : apologètica,apologètic
apoquí : apocar,apoquir
aporegada : aporegat,aporegar
aporegades : aporegat,aporegar
aporegat : aporegat,aporegar
aporegats : aporegat,aporegar
aportant : aportant,aportar
aposta : aposta,apostar
apostat : apostatar,apostar
apostem : apostemar,apostar
apostema : apostemar,apostema
apostemes : apostemar,apostema
apostes : aposta,apostar
apreciada : apreciat,apreciar
apreciades : apreciat,apreciar
apreciat : apreciat,apreciar
apreciats : apreciat,apreciar
aprenent : aprenent,aprendre
apressant : apressant,apressar
aprest : aprest,aprestar
apropiada : apropiar,apropiat
apropiades : apropiar,apropiat
apropiat : apropiar,apropiat
apropiats : apropiar,apropiat
aprovat : aprovar,aprovat
aprovats : aprovar,aprovat
aproximant : aproximar,aproximant
après : aprendre,apressar
aprés : aprés,aprendre
apunt : apunt,apuntar
apètala : apètala,apètal
apètales : apètala,apètal
apòcrifs : apòcrifs,apòcrif
apòstols : apòstols,apòstol
aquea : aqueu,aquea
aquees : aqueu,aquea
arabitzant : arabitzant,arabitzar
arbequina : arbequina,arbequí
arbequines : arbequina,arbequí
arbitri : arbitrar,arbitri
arbitris : arbitrar,arbitri
arborada : arborada,arborar,arborat
arborades : arborada,arborar,arborat
arborat : arborar,arborat
arborats : arborar,arborat
arbori : arborar,arbori
arboris : arborar,arbori
arbrat : arbrat,arbrar
arbrats : arbrat,arbrar
arbre : arbre,arbrar
arbres : arbre,arbrar
arc : arc,arcar
arca : arca,arcar
arcada : arcar,arcada
arcades : arcar,arcada
arcaïtzant : arcaïtzant,arcaïtzar
arcà : arcà,arcar
arega : arec,aregar
aregada : aregar,aregada
aregades : aregar,aregada
aregues : arec,aregar
arena : arena,arenar
arenes : arena,arenar
areng : arengar,areng
arenga : arenga,arengar
arengada : arengar,arengada
arengades : arengar,arengada
arengues : arenga,arengar
arganells : arganell,arganells
argent : argentar,argent
argentada : argentar,argentada
argentades : argentar,argentada
argentat : argentar,argentat
argentats : argentar,argentat
argentí : argentar,argentí
argila : argila,argilar
argiles : argila,argilar
argiva : argiu,argiva
argives : argiu,argiva
argolla : argolla,argollar
argolles : argolla,argollar
arguell : arguellar,arguell
arguellada : arguellat,arguellar
arguellades : arguellat,arguellar
arguellat : arguellat,arguellar
arguellats : arguellat,arguellar
argues : argue,argues
argument : argument,argumentar
aril : arilar,aril
aristocratitzant : aristocratitzant,aristocratitzar
arlequinada : arlequinat,arlequinada
arlequinades : arlequinat,arlequinada
arma : armar,arma
armada : armar,armada
armades : armar,armada
armat : armat,armar
armats : armat,armar
armes : armar,arma
armillera : armillera,armiller
armilleres : armillera,armiller
armis : armar,armis
armènia : armeni,armènia
armènies : armeni,armènia
arn : arnar,arn
arna : arna,arnar
arnat : arnar,arnat
arnats : arnar,arnat
arnes : arna,arnar
arnés : arnar,arnès
aroma : aroma,aromar
aromatitzant : aromatitzar,aromatitzant
aromes : aroma,aromar
arpa : arpa,arpar
arpada : arpar,arpada
arpades : arpar,arpada
arpant : arpant,arpar
arpegi : arpejar,arpegi
arpegis : arpejar,arpegi
arpell : arpellar,arpell
